index_code,stock_code,weight
930652,600363,0.384
930652,600460,0.656
930652,600563,0.247
930652,600584,1.194
930652,600601,0.569
930652,600699,0.461
930652,600703,0.952
930652,600707,0.163
930652,600745,0.579
930652,601138,3.864
930652,601231,0.377
930652,603019,2.214
930652,603160,0.38
930652,603228,0.532
930652,603296,0.592
930652,603501,1.73
930652,603786,0.142
930652,603893,0.679
930652,603986,3.546
930652,66,0.518
930652,688002,0.701
930652,688008,3.511
930652,688012,2.571
930652,688036,0.564
930652,688041,4.145
930652,688047,0.566
930652,688072,1.003
930652,688082,0.306
930652,688099,0.498
930652,688120,0.788
930652,688126,0.724
930652,688172,0.225
930652,688183,0.371
930652,688213,0.458
930652,688220,0.375
930652,688234,0.316
930652,688249,0.619
930652,688256,4.475
930652,688361,0.655
930652,688385,0.508
930652,688396,0.571
930652,688469,0.644
930652,688475,0.081
930652,688521,1.378
930652,688525,1.032
930652,688538,0.247
930652,688582,0.228
930652,688608,0.439
930652,688702,0.323
930652,688728,0.212
930652,688981,4.146
930652,725,2.706
930652,977,1.09
930652,988,1.312
930652,997,0.327
930653,000505,0.195
930653,000523,0.277
930653,000568,6.719
930653,000596,1.631
930653,000639,0.207
930653,000716,0.254
930653,000729,1.289
930653,000799,0.976
930653,000833,0.625
930653,000848,0.396
930653,000858,9.465
930653,000860,0.582
930653,000895,2.016
930653,001318,0.096
930653,001338,0.242
930653,002216,0.316
930653,002304,2.517
930653,002461,0.317
930653,002481,0.291
930653,002507,0.809
930653,002515,0.548
930653,002557,0.524
930653,002568,0.808
930653,002570,0.498
930653,002597,0.611
930653,002626,0.438
930653,002646,0.2
930653,002695,0.199
930653,002726,0.208
930653,002840,0.243
930653,002847,0.56
930653,002946,0.355
930653,002956,0.239
930653,002991,0.167
930653,003000,0.194
930653,1318,0.096
930653,1338,0.242
930653,2216,0.316
930653,2304,2.517
930653,2461,0.317
930653,2481,0.291
930653,2507,0.809
930653,2515,0.548
930653,2557,0.524
930653,2568,0.808
930653,2570,0.498
930653,2597,0.611
930653,2626,0.438
930653,2646,0.2
930653,2695,0.199
930653,2726,0.208
930653,2840,0.243
930653,2847,0.56
930653,2946,0.355
930653,2956,0.239
930653,2991,0.167
930653,3000,0.194
930653,300146,0.933
930653,300741,0.18
930653,300765,1.237
930653,300783,0.433
930653,300791,0.217
930653,300858,0.231
930653,300908,0.159
930653,300973,0.345
930653,300997,0.234
930653,300999,1.355
930653,301206,0.216
930653,505,0.195
930653,523,0.277
930653,568,6.719
930653,596,1.631
930653,600059,0.491
930653,600073,0.329
930653,600132,0.952
930653,600186,0.838
930653,600189,0.271
930653,600197,0.299
930653,600199,0.415
930653,600298,1.92
930653,600300,0.324
930653,600305,0.408
930653,600429,0.185
930653,600519,10.086
930653,600559,0.891
930653,600597,0.415
930653,600600,1.609
930653,600702,0.99
930653,600737,1.433
930653,600779,0.614
930653,600784,0.257
930653,600809,6.301
930653,600872,0.839
930653,600882,0.44
930653,600887,9.325
930653,600962,0.275
930653,600965,0.158
930653,601579,0.393
930653,603027,0.509
930653,603043,0.311
930653,603057,0.176
930653,603156,1.206
930653,603198,0.736
930653,603237,0.129
930653,603262,0.085
930653,603288,4.447
930653,603317,0.319
930653,603345,1.385
930653,603369,1.892
930653,603589,0.929
930653,603697,0.159
930653,603711,0.083
930653,603719,0.18
930653,603777,0.134
930653,603866,0.265
930653,603919,0.334
930653,605016,0.4
930653,605077,0.259
930653,605179,0.186
930653,605198,0.145
930653,605300,0.123
930653,605337,0.172
930653,605338,0.226
930653,605388,0.126
930653,605499,3.929
930653,639,0.207
930653,688089,0.145
930653,716,0.254
930653,729,1.289
930653,799,0.976
930653,833,0.625
930653,848,0.396
930653,858,9.465
930653,860,0.582
930653,895,2.016
930697,000016,0.618
930697,000333,13.927
930697,000404,0.379
930697,000521,0.521
930697,000541,0.515
930697,000651,13.97
930697,000921,1.225
930697,002032,0.768
930697,002035,0.474
930697,002045,0.689
930697,002050,12.657
930697,002242,0.354
930697,002290,1.002
930697,002418,0.483
930697,002429,2.434
930697,002508,1.101
930697,002512,0.576
930697,002543,0.331
930697,002614,0.338
930697,002668,0.606
930697,002676,0.463
930697,002677,0.258
930697,002681,1.293
930697,002705,0.52
930697,002851,6.211
930697,002860,0.384
930697,002953,0.205
930697,002959,0.302
930697,16,0.618
930697,2032,0.768
930697,2035,0.474
930697,2045,0.689
930697,2050,12.657
930697,2242,0.354
930697,2290,1.002
930697,2418,0.483
930697,2429,2.434
930697,2508,1.101
930697,2512,0.576
930697,2543,0.331
930697,2614,0.338
930697,2668,0.606
930697,2676,0.463
930697,2677,0.258
930697,2681,1.293
930697,2705,0.52
930697,2851,6.211
930697,2860,0.384
930697,2953,0.205
930697,2959,0.302
930697,300160,0.351
930697,300217,0.611
930697,300247,0.459
930697,300272,0.35
930697,300342,1.881
930697,300403,0.55
930697,300539,0.401
930697,300660,1.04
930697,300824,0.163
930697,300894,0.209
930697,300911,0.343
930697,301008,0.256
930697,301187,0.209
930697,301332,0.254
930697,301439,0.211
930697,301578,0.097
930697,333,13.927
930697,404,0.379
930697,521,0.521
930697,541,0.515
930697,600060,2.16
930697,600261,0.326
930697,600336,0.482
930697,600619,1.151
930697,600690,10.455
930697,600839,4.0
930697,600983,0.286
930697,603195,1.258
930697,603215,0.17
930697,603219,0.233
930697,603344,0.203
930697,603355,0.412
930697,603366,0.349
930697,603486,1.846
930697,603519,0.201
930697,603579,0.328
930697,603657,0.17
930697,603677,0.115
930697,603726,0.261
930697,603868,0.204
930697,605365,0.224
930697,605555,0.386
930697,651,13.97
