序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比
404,931465,300 ESG领先,1175.72,-0.84,-9.98,59810914,187074952423.0,1.28,1183.52,1168.38,1176.29,1185.7,0.71
405,931788,中韩50,2466.25,-0.84,-20.88,0,,2.58,2477.9,2413.76,2441.03,2487.13,
406,931023,北京50,1835.61,-0.84,-15.59,33736140,54712200651.0,1.94,1858.12,1822.18,1839.23,1851.2,0.77
407,932263,苏州园区,3553.57,-0.85,-30.41,5909328,34581286382.5,2.08,3604.22,3529.54,3542.59,3583.98,0.85
408,931395,沪港深300,1730.37,-0.85,-14.78,190641039,519511098659.3,1.45,1741.99,1716.72,1722.03,1745.15,0.73
409,931009,建筑材料,7103.66,-0.86,-61.71,12022264,11184238903.0,2.06,7224.06,7076.43,7137.82,7165.37,0.82
410,H11049,AMAC文体,1346.97,-0.87,-11.79,21609912,25551233229.0,3.45,1368.59,1321.67,1350.38,1358.76,0.95
411,H50014,沪中部,4457.12,-0.87,-39.32,34066441,52563524659.0,2.21,4500.98,4401.63,4401.63,4496.44,0.78
412,H30089,红利潜力,10016.77,-0.88,-89.3,9466640,82763224299.0,1.56,10126.01,9968.65,10062.49,10106.07,0.77
413,930608,中证基建,8754.09,-0.9,-79.82,28219634,19061916495.0,1.24,8830.31,8720.89,8770.91,8833.91,0.66
414,H30455,沪港深500,2698.47,-0.91,-24.85,273478705,693369306153.4,1.53,2716.31,2674.55,2681.8,2723.32,0.74
415,931593,科技领先,3669.68,-0.91,-33.78,20270549,162411388886.0,2.61,3729.89,3633.27,3661.81,3703.46,0.86
416,931480,线上消费,942.24,-0.92,-8.78,34122025,58511674285.0,3.75,959.09,923.41,941.97,951.02,0.83
417,H50029,沪通信红,11861.1,-0.93,-111.39,4135119,4376118037.0,1.5,11984.94,11804.93,11934.11,11972.49,0.57
418,H11044,AMAC信息,3738.59,-0.93,-35.24,91084981,189764019004.0,2.59,3790.81,3692.94,3734.8,3773.83,0.82
419,931027,港股通大消费,3252.14,-0.93,-30.37,10632357,43240275011.0,1.71,3278.19,3222.2,3224.08,3282.51,0.78
420,CES120,中华120,6952.89,-0.94,-66.02,90963908,276510706160.2,1.39,6998.63,6900.91,6911.42,7018.91,0.73
421,950090,50AH优选,6357.66,-0.94,-60.45,29474962,95039603642.8,1.4,6394.16,6304.6,6334.68,6418.11,0.69
422,931134,AH经济蓝筹,7090.38,-0.94,-66.93,255654761,557929977932.5,1.33,7139.86,7044.98,7058.15,7157.31,0.75
423,H11121,富国多空,60848.63,-0.96,-592.85,66076821,255075617866.0,1.14,61317.67,60615.89,60906.04,61441.48,0.77
424,931087,科技龙头,5329.11,-0.96,-51.46,21167770,145768762492.0,2.59,5411.68,5272.59,5315.91,5380.57,0.72
425,930721,CS智汽车,5793.76,-0.96,-56.42,10454312,41300935876.0,1.99,5864.81,5748.55,5795.39,5850.18,0.77
426,930986,金融科技,3069.78,-0.96,-29.83,10828421,28884045780.0,1.84,3114.2,3057.08,3076.29,3099.61,0.95
427,H30184,半导体,9908.46,-0.96,-96.2,13997329,108505674783.0,2.28,10047.1,9818.56,9877.72,10004.66,0.7
428,931643,科创创业50,1971.17,-0.97,-19.33,14729778,142422453222.0,2.62,1999.11,1946.98,1964.28,1990.5,0.88
429,931247,中证信创,1546.15,-0.97,-15.18,9094220,33167041976.0,2.3,1567.84,1531.88,1546.64,1561.33,0.76
430,931877,科创创业50净收益,2046.86,-0.97,-20.07,14729778,142422453222.0,2.62,2075.87,2021.74,2039.7,2066.93,0.88
431,930851,云计算,6827.66,-0.99,-68.48,22191248,87439158147.0,2.76,6941.47,6750.81,6830.26,6896.14,0.84
432,H30007,芯片产业,3380.48,-0.99,-33.9,10613855,82881519450.0,2.33,3425.57,3345.96,3369.45,3414.38,0.73
433,931159,创新100,3500.7,-0.99,-35.02,23108779,153791581475.0,2.0,3545.67,3474.8,3498.21,3535.72,0.75
434,931357,优选消费50,2966.68,-0.99,-29.52,9594890,71455682146.4,0.79,2988.24,2964.66,2967.95,2996.2,0.74
435,931235,中证电信,2667.93,-0.99,-26.76,25571523,123240498978.0,1.89,2707.53,2656.56,2668.21,2694.69,0.8
436,932537,互联互通中国50SGD,2043.43,-0.99,-20.4,45088811,30746279947.9,1.18,2055.19,2030.83,2036.0,2063.83,0.73
437,931524,SHS科技龙头,2636.47,-1.0,-26.59,28197305,131915631546.1,2.01,2662.73,2609.07,2618.68,2663.06,0.74
