fund_code,fund_type,actual_growth,estimated_growth,deviation,deviation_level
002474,债券型-混合二级,0.0,-0.00390794,-0.00390794,0.0
018463,混合型-灵活,-2.03,-2.033909678,-0.003909678000000305,0.0
002361,债券型-混合二级,0.0,-0.003912118320000001,-0.003912118320000001,0.0
004332,混合型-偏股,-0.27,-0.26607077196000006,0.003929228039999955,0.0
011424,股票型,0.0,-0.003947082307999908,-0.003947082307999908,0.0
002146,混合型-偏债,0.0,-0.003972430839,-0.003972430839,0.0
002147,混合型-偏债,0.0,-0.003972430839,-0.003972430839,0.0
009829,混合型-偏债,0.0,-0.0039756658149,-0.0039756658149,0.0
004475,混合型-灵活,-0.31,-0.31400395627,-0.0040039562699999975,0.0
014597,混合型-灵活,-0.31,-0.31400395627,-0.0040039562699999975,0.0
006209,混合型-灵活,-0.39,-0.38599114053989997,0.004008859460100045,0.0
005583,混合型-灵活,0.25,0.24594085534300003,-0.004059144656999969,0.0
003592,混合型-灵活,-0.01,-0.014090701659999998,-0.004090701659999998,0.0
005120,混合型-灵活,0.02,0.015890400759999996,-0.0041095992400000045,0.0
002792,混合型-偏债,-0.02,-0.015877095855,0.004122904145000002,0.0
002793,混合型-偏债,-0.02,-0.015877095855,0.004122904145000002,0.0
006025,混合型-偏股,-0.31,-0.31417796995200004,-0.004177969952000038,0.0
019571,混合型-偏股,-0.31,-0.31417796995200004,-0.004177969952000038,0.0
001470,混合型-灵活,-0.05,-0.04574277375,0.004257226250000003,0.0
002980,股票型,-0.85,-0.854263657437,-0.004263657436999968,0.0
011411,混合型-偏股,-0.03,-0.025708069824,0.004291930175999999,0.0
009653,混合型-偏债,-0.01,-0.005678177112000001,0.004321822887999999,0.0
009654,混合型-偏债,-0.01,-0.005678177112000001,0.004321822887999999,0.0
519768,混合型-灵活,-0.01,-0.0056565750359999995,0.004343424964000001,0.0
519769,混合型-灵活,-0.01,-0.0056565750359999995,0.004343424964000001,0.0
011711,混合型-偏股,-0.52,-0.5156486051099999,0.004351394890000138,0.0
011177,混合型-偏股,-0.12,-0.12436905845000003,-0.004369058450000032,0.0
011178,混合型-偏股,-0.12,-0.12436905845000003,-0.004369058450000032,0.0
010363,混合型-偏股,0.14,0.14437177115140012,0.004371771151400111,0.0
020237,股票型,-0.55,-0.5455110839454,0.004488916054600001,0.0
010027,混合型-偏股,-0.3,-0.2954960311946999,0.004503968805300074,0.0
016355,指数型-股票,-0.27,-0.27450977968,-0.004509779679999992,0.0
018470,混合型-灵活,-0.3,-0.30453136447999996,-0.004531364479999966,0.0
450010,混合型-灵活,-0.3,-0.30453136447999996,-0.004531364479999966,0.0
002545,混合型-灵活,-0.32,-0.31538933777,0.004610662230000007,0.0
010677,指数型-股票,-1.28,-1.2753272255649999,0.004672774435000138,0.0
020407,指数型-股票,-1.28,-1.2753272255649999,0.004672774435000138,0.0
164818,指数型-股票,-1.28,-1.2753272255649999,0.004672774435000138,0.0
003378,混合型-灵活,-0.54,-0.5446783860895998,-0.004678386089599806,0.0
