fund_code,index_code,effective_weight
001827,000300,0.65
001829,000906,0.6
001829,中证全债指数,0.4
001830,000300,0.5
001832,000906,0.85
001834,000964,0.5
001834,中证全债指数,0.5
001835,000300,0.25
001836,000300,0.25
001837,000300,0.35
001837,HSI,0.35
001837,中证全债指数,0.3
001838,000300,0.6
001844,000300,0.7
001849,000300,0.95
001850,000300,0.5
001850,中证全债指数,0.5
001852,000300,0.5
001856,000827,0.65
001857,000906,0.65
001858,000300,0.65
001861,000300,0.6
001864,H30002,0.6
001864,中证全债指数,0.4
001865,000300,0.7
001865,中证全债指数,0.3
001869,000300,0.6
001874,000300,0.35
001874,HSI,0.35
001874,中证全债指数,0.3
001875,000300,0.35
001875,HSI,0.35
001875,中证全债指数,0.3
001877,000300,0.65
001877,HSCI,0.15
001878,000300,0.45
001878,HSI,0.45
001879,399006,0.95
001880,930599,0.6
001881,CNGBIA,0.2
001881,XIN4,0.8
001882,000012,0.2
001882,000300,0.8
001883,000300,0.75
001883,中证全债指数,0.25
001885,000012,0.35
001885,000300,0.6
001886,000300,0.75
001888,000300,0.75
001888,中证全债指数,0.25
001890,000300,0.65
001892,000300,0.5
001892,中证全债指数,0.5
001897,000300,0.8
001898,000906,0.65
001899,H30372,0.95
001900,000300,0.5
001900,HSI,0.3
001901,000300,0.7
001901,中证全债指数,0.3
001902,000300,0.7
001902,中证全债指数,0.3
001903,000300,0.5
001903,中证全债指数,0.5
001904,000300,0.5
001904,中证全债指数,0.5
001905,000300,0.6
001907,000300,0.6
001908,000300,0.6
001910,000300,0.6
001914,000300,0.2
001915,000808,0.7
001915,HSCI,0.2
001915,中证全债指数,0.1
001917,000905,0.8
001922,000300,0.5
001922,中证全债指数,0.5
001924,000012,0.5
001924,000300,0.5
001927,000012,0.5
001927,000942,0.5
001928,000012,0.5
001928,000942,0.5
001933,000012,0.35
001933,000906,0.65
001938,000905,0.9
001938,中证全债指数,0.1
001940,399814,0.65
001940,中证全债指数,0.35
001942,000300,0.7
001942,中证全债指数,0.3
001943,000300,0.7
001943,中证全债指数,0.3
001951,000300,0.6
001951,中证全债指数,0.4
001955,000300,0.75
001956,000012,0.2
001956,000300,0.8
001959,000012,0.35
001959,000906,0.65
001965,000012,0.35
001965,000300,0.65
001966,000012,0.35
001966,000300,0.65
001970,000012,0.45
001970,000300,0.55
001972,000300,0.7
001972,中证全债指数,0.3
001975,000300,0.4
001975,000827,0.4
001975,中证全债指数,0.2
001978,000012,0.5
001978,000300,0.5
001980,000985,0.8
001980,930930,0.05
001983,000012,0.4
001983,000827,0.6
001984,000808,0.45
001984,HSHCI,0.35
001985,000906,0.6
001986,000300,0.7
001986,中证全债指数,0.3
001990,000905,0.95
001997,000906,0.6
001998,000906,0.4
001998,HSI,0.15
002000,000300,0.3
002003,000906,0.4
002004,000906,0.4
002005,000300,0.3
002006,000300,0.3
002009,000300,0.1
002010,000300,0.1
002011,TFTXH150U,0.6
002015,000300,0.2
002016,000300,0.2
002017,000300,0.6
002018,000300,0.3
002018,中证全债指数,0.7
002019,000300,0.3
002019,中证全债指数,0.7
002020,000300,0.8
002025,000300,0.3
002025,中证全债指数,0.7
002026,000300,0.3
002026,中证全债指数,0.7
002027,000300,0.3
002028,000300,0.6
002031,000012,0.45
002031,000300,0.55
002035,000906,0.5
002036,000300,0.5
002036,中证全债指数,0.5
002043,000300,0.6
002046,000300,0.8
002049,000300,0.5
002051,000300,0.6
002051,中证全债指数,0.4
002052,000300,0.6
002052,中证全债指数,0.4
002053,000300,0.6
002053,中证全债指数,0.4
002054,000300,0.6
002056,000300,0.6
002057,000300,0.6
002058,000300,0.6
002060,000300,0.7
002062,000300,0.5
002062,中证全债指数,0.5
002063,000300,0.95
002064,000012,0.35
002064,000300,0.65
002067,000300,0.6
002067,中证全债指数,0.4
002071,000300,0.65
002071,中证全债指数,0.35
002076,000905,0.95
002079,000300,0.7
002079,中证全债指数,0.3
002080,000300,0.7
002080,中证全债指数,0.3
002082,000012,0.3
002082,000300,0.7
002083,000300,0.6
002084,000300,0.6
002085,000300,0.5
002085,中证全债指数,0.5
002087,000300,0.5
002088,000300,0.5
002095,000300,0.5
002095,中证全债指数,0.5
002096,000300,0.5
002096,中证全债指数,0.5
002103,000300,0.3
002106,000300,0.5
002106,HSI,0.1
002116,000300,0.3
002116,中证全债指数,0.7
002117,000300,0.3
002117,中证全债指数,0.7
002118,000300,0.3
002118,中证全债指数,0.7
002119,000300,0.3
002119,中证全债指数,0.7
